# x_fitting, y_fitting
0.100,0.882
0.101,0.882
0.102,0.881
0.102,0.881
0.103,0.881
0.104,0.881
0.105,0.881
0.106,0.880
0.106,0.880
0.107,0.880
0.108,0.880
0.109,0.879
0.110,0.879
0.110,0.879
0.111,0.879
0.112,0.878
0.113,0.878
0.114,0.878
0.114,0.878
0.115,0.877
0.116,0.877
0.117,0.877
0.118,0.877
0.118,0.876
0.119,0.876
0.120,0.876
0.121,0.875
0.122,0.875
0.122,0.875
0.123,0.875
0.124,0.874
0.125,0.874
0.126,0.874
0.126,0.873
0.127,0.873
0.128,0.873
0.129,0.872
0.130,0.872
0.130,0.872
0.131,0.871
0.132,0.871
0.133,0.871
0.134,0.870
0.134,0.870
0.135,0.870
0.136,0.869
0.137,0.869
0.138,0.869
0.138,0.868
0.139,0.868
0.140,0.868
0.141,0.867
0.142,0.867
0.142,0.866
0.143,0.866
0.144,0.866
0.145,0.865
0.146,0.865
0.146,0.864
0.147,0.864
0.148,0.864
0.149,0.863
0.150,0.863
0.150,0.863
0.151,0.862
0.152,0.862
0.153,0.861
0.154,0.861
0.154,0.860
0.155,0.860
0.156,0.860
0.157,0.859
0.158,0.859
0.158,0.858
0.159,0.858
0.160,0.857
0.161,0.857
0.162,0.857
0.162,0.856
0.163,0.856
0.164,0.855
0.165,0.855
0.166,0.854
0.166,0.854
0.167,0.853
0.168,0.853
0.169,0.853
0.170,0.852
0.170,0.852
0.171,0.851
0.172,0.851
0.173,0.850
0.174,0.850
0.174,0.849
0.175,0.849
0.176,0.848
0.177,0.848
0.178,0.847
0.178,0.847
0.179,0.846
0.180,0.846
0.181,0.845
0.182,0.845
0.182,0.844
0.183,0.844
0.184,0.843
0.185,0.843
0.186,0.842
0.186,0.842
0.187,0.841
0.188,0.841
0.189,0.840
0.190,0.840
0.190,0.839
0.191,0.839
0.192,0.838
0.193,0.838
0.194,0.837
0.194,0.836
0.195,0.836
0.196,0.835
0.197,0.835
0.198,0.834
0.198,0.834
0.199,0.833
0.200,0.833
0.201,0.832
0.202,0.832
0.203,0.831
0.203,0.830
0.204,0.830
0.205,0.829
0.206,0.829
0.207,0.828
0.207,0.828
0.208,0.827
0.209,0.826
0.210,0.826
0.211,0.825
0.211,0.825
0.212,0.824
0.213,0.824
0.214,0.823
0.215,0.822
0.215,0.822
0.216,0.821
0.217,0.821
0.218,0.820
0.219,0.819
0.219,0.819
0.220,0.818
0.221,0.818
0.222,0.817
0.223,0.816
0.223,0.816
0.224,0.815
0.225,0.815
0.226,0.814
0.227,0.813
0.227,0.813
0.228,0.812
0.229,0.812
0.230,0.811
0.231,0.810
0.231,0.810
0.232,0.809
0.233,0.808
0.234,0.808
0.235,0.807
0.235,0.807
0.236,0.806
0.237,0.805
0.238,0.805
0.239,0.804
0.239,0.803
0.240,0.803
0.241,0.802
0.242,0.801
0.243,0.801
0.243,0.800
0.244,0.800
0.245,0.799
0.246,0.798
0.247,0.798
0.247,0.797
0.248,0.796
0.249,0.796
0.250,0.795
0.251,0.794
0.251,0.794
0.252,0.793
0.253,0.792
0.254,0.792
0.255,0.791
0.255,0.790
0.256,0.790
0.257,0.789
0.258,0.788
0.259,0.788
0.259,0.787
0.260,0.786
